Abel Magwitch
Abraham Van Helsing
Agnes Wickfield
Captain Ahab
Albus Dumbledore
Alexandre Manette
Amy March
Anatole Kuragin
Anna Karenina
Anne Elliot
Anne Shirley
Anne Steele
Arthur Dent
Arthur Radley
Atticus Finch
Aureliano Buendia
Azelma Thenardier	
Bathsheba Everdene
Bellatrix Lestrange
Benjy Compson
Bertha Antoinetta Mason
Betsey Trotwood
Bilbo Baggins
Bill Sikes
Billy Pilgrim
Bridget Jones
Bruce Wayne
Cain Ball
Caleb Trask
Caroline Bingley
Catherine Earnshaw
Catherine Bennet
Catherine de Bourgh
Catherine Morland
Cedric Diggory
Charles Bingley
Charles Musgrove
Charlie Bucket
Charlotte Lucas
Christopher John Francis Boone
Christopher Robin
Clarissa Dalloway
Clarissa Harlowe
Clark Kent
Claude Frollo
Clopin Trouillefou
Cosette Fauchelevant
Cyrus Trask
Daisy Buchanan
Daniel Deronda
David Copperfield
Diana Barry
Dilsey Gibson
Dolores Umbridge
Dorian Gray
Dorothy Gale
Draco Malfoy
Count Dracula
Ebenezer Scrooge
Edward Ferrars
Edward Fairfax Rochester
Eleanor Tilney
Elinor Dashwood
Elizabeth Bennet
Elizabeth Elliot
Elizabeth March
Emma Woodhouse
Eponine Thenardier
Estella Havisham
Esther Summerson
Fanny Dashwood
Fanny Price
Fanny Squeers
Fitzwilliam Darcy
Ford Prefect
Forrest Gump
Francis Troy
Frank Churchill
Frederick Wentworth
Frodo Baggins
George Knightley
George Milton
George Osborne
George Smiley
George Wickham
Georgiana Darcy
Gertrude Morel
Gilbert Blythe
Ginevra Weasley
Gregor Samsa
Guy Montag
Gwendolen Harleth
Ham Peggotty
Harriet Smith
Harry Potter
Hélène Kuragina
Helmholtz Watson
Henrietta Musgrove
Henrietta Petowker
Henry Crawford
Henry Jekyll
Henry Woodhouse
Herbert Pocket
Hercule Poirot
Hermione Granger
Hester Prynne
Holden Caulfield
Holly Golightly
Huckleberry Finn
Ignatius Reilly
Count Ilya Rostov
Isabella Knightley
Isabelle de Merteuil
Jack Dawkins
Jacob Marley
James Bond
James Moriarty
James Morland
Jane Bennet
Jane Eyre
Jane Marple
Peter Wimsey
Harriet Vane
Jason Bourne
Jason Compson IV
Jay Gatsby
Jean Louise Finch
Jean Valjean
Jeremy Atticus Finch
John Brooke
John Browdie
John Dashwood
John Thorpe
John Watson
John Willoughby
John Yossarian
Josef K.
Joe Gargery
Joseph Sedley
Josephine Barry
Jo March
Josiah Bounderby
Josie Pye
Julia Bertram
Julia Ray
Kate Nickleby
Katniss Everdeen
Kilgore Trout
Lemuel Gulliver
Lenina Crowne
Lennie Small
Leopold Bloom
Lily Bart
Lois Lane
Lorna Doone
Louis Trevelyan
Louisa Gradgrind
Louisa Musgrove
Lucie Manette
Lucius Malfoy
Lucy Pevensie
Lucy Steele
Lucy Westenra
Luna Lovegood
Lydia Bennet
Lydia Smallbury
Madeline Bray
Margaret Dashwood
Margaret March
Margaret Ray
Maria Bertram
Marianne Dashwood
Marilla Cuthbert
Marius Pontmercy
Princess Mariya Bolkonskaya
Mary Bennet
Mary Crawford
Mary Lennox
Mary Musgrove
Mary Poppins
Maryann Money
Matilda Price
Matthew Cuthbert
Maxim de Winter
Melanie Hamilton Wilkes
Michael Corleone
Mina Harker
Minnie May Barry
Mirah Lapidoth
Molly Blooms
Moody Spurgeon MacPherson
Mulberry Hawk
Muriel Stacy
Nancy Drew
Natasha Rostova
Neville Longbottom
Newman Noggs
Nicholas Nickleby
Nicholas Rubashov
Nick Carraway
Nikolai Rostov
Noah Claypole
Oliver Twist
Patrick Bateman
Paul Bäumer
Paul Morel
Peg Sliderskew
Peter Pan
Peter Parker
Peter Pevensies
Petya Rostov
Philip Elton
Philip Pirrip
Phoebus de Chateaupers
Pierre Bezukhov
Pierre Gringoire
Pippi Longstocking
Posy Fossil
Quasimodo
Quentin Compson III
Quincey Morris
Don Quixote
Rachel Lynde
Ralph Nickleby
R. P. McMurphy
Rawdon Crawley
Rebecca Sharp
Robert Ferrars
Robinson Crusoe
Ronald Weasley
Rose Maylie
Rubeus Hagrid
Ruby Gillis
Samwise Gamgee
Sancho Panza
Sebastian Valmont
Severus Snape
Sherlock Holmes
Silas Marner
Sirius Black
Sonya Rostova
Sophia Croft
Sophie Neveu
Stephen Blackpool
Stephen Dedalus
Susan Pevensie
Sydney Carton
Tacy Kelly
Tess Durbeyfield
Theodore Laurence
Thérèse Defarge
Thomas Bertram
Thomas Gradgrind
Tom Bertram
Tom Buchanan
Tom Joad
Tom Jones
Tom Sawyer
Tommy Beresford
Tony Stark
Tristram Shandy
Tuppence Beresford
Tyler Durden
Tyrion Lannister
Uriah Heep
Victor Frankenstein
Viserys Targaryen
Vito Corleone
Wackford Squeers
Wade Hampton Hamilton
Walter Elliot
Wendy Darling
William Dobbin
William Elliot
William Price
Willy Wonka
Winston Smith
Zaphod Beeblebrox
